C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
13 |HD 221488                          |PM*|23 27 43.5941302222 +86 33 31.866171777|     ~| 7.67 | 7.20 |     ~|     ~|F5             |  16|   0
14 |BD+85 407                          |*  |23 54 54.9546976498 +86 46 41.299476534|     ~|10.25 | 9.78 |     ~|     ~|F0             |   0|   0
15 |HD 224687                          |*  |23 59 30.7341527695 +86 42 23.050914425|     ~| 6.80 | 6.74 |     ~|     ~|A0             |  13|   0
16 |BD+85 370                          |*  |21 44 16.7478 +85 59 21.872            |     ~|10.01 | 9.58 |     ~|     ~|F2             |   0|   0
17 |BD+85 371                          |Ro*|21 45 09.8550 +85 54 16.649            |     ~| 9.88 | 9.15 |     ~|     ~|F8             |   2|   0
18 |HD 209959                          |*  |21 52 18.1936277365 +85 51 54.691719511|     ~| 9.15 | 8.90 |     ~|     ~|F0             |   1|   0
19 |BD+85 378                          |*  |21 53 57.0903345016 +86 06 57.254926755|     ~|10.84 | 9.83 |     ~|     ~|G8             |   0|   0
20 |BD+85 382                          |*  |22 03 51.6533607113 +86 08 06.750626601|     ~|10.21 | 9.77 |     ~|     ~|G0             |   0|   0
21 |HD 212710                          |PM*|22 13 10.4452006189 +86 06 28.778095630|     ~| 5.233| 5.258|     ~|     ~|B9.5Vn         |  57|   0
22 |HD 212774                          |*  |22 13 11.0373229288 +86 13 16.809077663|     ~| 7.78 | 6.58 |     ~|     ~|K0             |   9|   0
23 |HD 220497                          |*  |23 18 53.4923191556 +86 03 23.868917774|     ~| 9.70 | 8.56 |     ~|     ~|K2             |   2|   0
24 |HD 221344                          |*  |23 27 04.9102308703 +86 00 29.260598533|     ~| 8.46 | 7.57 |     ~|     ~|G5             |   4|   0
25 |V* V378 Cep                        |El*|23 31 33.8652216084 +86 10 41.011330863|     ~| 7.26 | 7.09 |     ~|     ~|A5             |  18|   0
26 |HD 224202                          |*  |23 55 07.2528775215 +85 54 21.081005204|     ~| 8.94 | 8.86 |     ~|     ~|A0             |   3|   0
27 |BD+84 496                          |*  |21 42 45.4407068755 +85 12 33.449386443|     ~|11.43 | 9.84 |     ~|     ~|K2             |   0|   0
28 |BD+84 501                          |*  |21 54 47.0627471589 +85 11 25.254750095|     ~| 9.88 | 9.56 |     ~|     ~|A5             |   0|   0
29 |HD 211681                          |PM*|22 06 49.0712497557 +85 24 33.774614449|     ~| 8.83 | 8.09 |     ~|     ~|G5             |  28|   0
30 |HD 213593                          |** |22 22 48.2380691 +85 03 42.182846      |     ~| 8.15 | 7.14 |     ~|     ~|K0             |   6|   0
31 |BD+84 510                          |*  |22 23 00.6829346990 +85 44 14.106459073|     ~|10.64 | 9.59 |     ~|     ~|G5             |   0|   0
32 |HD 217157                          |PM*|22 51 03.0578330522 +85 22 25.445800554|     ~| 7.236| 5.891|     ~|     ~|K5             |   9|   0
33 |BD+84 519                          |*  |22 54 49.0526066404 +85 07 42.820856536|     ~|10.82 | 9.78 |     ~|     ~|G5             |   0|   0
34 |HD 218980                          |*  |23 05 58.8388802335 +85 43 50.051915102|     ~| 9.05 | 8.57 |     ~|     ~|F              |   2|   0
35 |BD+84 527                          |*  |23 10 49.1505878702 +85 18 23.548064360|     ~| 9.76 | 9.44 |     ~|     ~|F0             |   0|   0
36 |BD+84 532                          |*  |23 32 02.0845021697 +85 21 34.664348199|     ~|11.39 | 9.90 |     ~|     ~|K5             |   0|   0
37 |HD 222262                          |*  |23 36 25.2669283706 +85 10 01.415583750|     ~| 8.69 | 8.42 |     ~|     ~|A2             |   1|   0
38 |BD+84 535                          |*  |23 41 23.2827516875 +85 04 20.604434023|     ~| 9.92 | 9.23 |     ~|     ~|G0             |   0|   0
39 |HD 222874                          |V* |23 42 18.39883 +85 28 06.7887          | 9.590| 8.740| 7.680|     ~|     ~|K0             |   9|   0
40 |BD+84 538                          |*  |23 44 14.7671585119 +85 19 28.182121121|     ~| 9.72 | 9.39 |     ~|     ~|F0             |   1|   0
41 |HD 223383                          |*  |23 47 37.8013342621 +85 04 42.223349904|     ~| 8.67 | 7.78 |     ~|     ~|G5             |   3|   0
42 |V* AR Cep                          |LP*|22 51 33.8486031873 +85 02 46.940959940|10.180| 8.920| 7.400|     ~|     ~|M4III          |  18|   0
43 |HD 3959                            |*  |00 49 24.5903257205 +86 56 22.997518036|     ~| 8.90 | 8.71 |     ~|     ~|A3             |   3|   0
