C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
152|BD+86 346                          |*  |23 43 48.1078902062 +87 21 17.616982161|     ~|10.07 | 9.49 |     ~|     ~|G0             |   1|   0
153|BD+85 366                          |*  |21 31 25.0499998862 +86 32 49.062791307|     ~|10.33 | 9.03 |     ~|     ~|K0             |   0|   0
154|BD+89 38                           |*  |21 16 46.6663155931 +89 46 26.596590100|     ~| 9.94 | 9.65 |     ~|     ~|A0             |   9|   0
155|CCDM J18059+8815AB                 |** |18 05 54.4635 +88 15 12.088            |     ~| 9.94 | 9.58 |     ~|     ~|F5             |   2|   0
156|HD 187138                          |*  |18 08 11.7809129234 +88 49 22.051120242|     ~| 9.26 | 8.21 |     ~|     ~|G9III          |  18|   0
157|HD 189275                          |V* |18 27 58.7360627185 +88 44 45.631130875|     ~| 9.35 | 9.09 |     ~|     ~|A2             |   2|   0
158|BD+88 118                          |*  |19 29 18.9620310167 +88 31 36.925589093|     ~|10.02 | 9.49 |     ~|     ~|G0             |   2|   0
159|BD+88 122                          |*  |19 33 28.3986726600 +88 51 27.443399830|     ~|11.59 | 9.93 |     ~|     ~|K5             |   1|   0
160|BD+88 124                          |*  |20 02 58.2464255889 +88 45 48.483018672|     ~|10.98 | 9.49 |     ~|     ~|G8             |   1|   0
161|HD 209269                          |*  |21 06 53.6769439058 +88 49 44.766057221|     ~| 9.64 | 9.21 |     ~|     ~|F              |   2|   0
162|HD 211455                          |*  |20 38 47.4331864659 +89 24 23.426283025| 9.200| 9.150| 8.930|     ~|     ~|A5             |  17|   0
163|BD+88 133                          |*  |21 34 51.3556206189 +89 13 22.625965591|     ~|10.07 | 9.83 |     ~|     ~|A5             |   5|   0
164|BD+88 134                          |*  |22 06 16.7153831930 +89 20 38.143925838|     ~|10.34 | 9.26 |     ~|     ~|G5             |   7|   0
165|BD+88 139                          |*  |23 42 52.7570569871 +88 50 43.753346259|     ~| 9.88 | 9.39 |     ~|     ~|G0             |   0|   0
166|BD+88 142                          |*  |23 52 56.6335831587 +89 26 41.280463665|     ~|10.50 | 9.39 |     ~|     ~|G5             |   7|   0
167|BD+87 185                          |*  |18 59 47.3297022149 +88 05 46.928837802|     ~| 9.74 | 9.39 |     ~|     ~|F2             |   1|   0
168|BD+87 191                          |*  |19 59 27.5012415513 +88 26 53.925357371|     ~|11.10 | 9.96 |     ~|     ~|G5             |   1|   0
169|BD+87 192                          |*  |20 20 05.0851373013 +88 14 15.272219572|     ~|10.52 | 9.89 |     ~|     ~|G2             |   2|   0
170|BD+87 193                          |*  |20 21 22.0447447864 +88 15 34.427718812|     ~| 9.80 | 9.32 |     ~|     ~|G0             |   2|   0
171|BD+87 199                          |*  |21 11 40.6817266692 +88 24 39.591739477|     ~|10.04 | 9.66 |     ~|     ~|A5             |   1|   0
172|HD 223257                          |*  |23 43 12.6108184632 +88 20 31.318049775|     ~| 9.17 | 9.02 |     ~|     ~|A0             |   4|   0
173|HD 190250                          |PM*|18 11 19.0230598816 +88 59 24.850251008|     ~| 9.13 | 8.52 |     ~|     ~|G2V:           |  11|   2
174|HD 181203                          |V* |18 34 57.0935038083 +87 17 31.168936478|     ~| 8.67 | 8.49 |     ~|     ~|A5             |   3|   0
175|HD 181518                          |*  |18 25 29.6697420580 +87 48 32.820051120|     ~| 8.77 | 8.60 |     ~|     ~|A3             |   4|   0
176|BD+87 186                          |*  |19 08 29.3743616457 +87 54 49.354039425|     ~|10.13 | 9.68 |     ~|     ~|F8             |   0|   0
177|HD 195252                          |*  |19 40 47.7217177052 +87 55 20.300323695|10.600| 9.220| 7.960|     ~|     ~|K2             |   6|   0
178|BD+87 194                          |*  |20 33 32.5348283919 +88 04 02.054661751|     ~|10.43 | 9.19 |     ~|     ~|K0             |   2|   0
179|BD+87 195                          |PM*|20 49 22.1459020646 +87 53 46.006904945|     ~|10.00 | 9.45 |     ~|     ~|G2             |   0|   0
180|BD+87 196                          |*  |21 19 43.6522488797 +87 45 23.391229754|     ~|10.37 | 9.91 |     ~|     ~|F5             |   0|   0
181|HD 209556                          |PM*|21 36 02.4489986529 +87 47 01.974882423|     ~| 8.81 | 8.36 |     ~|     ~|F5             |   5|   0
182|HD 213126                          |*  |22 03 13.6522522658 +88 04 23.020182755|     ~| 7.55 | 7.45 |     ~|     ~|A2             |   8|   0
183|BD+87 206                          |*  |22 20 53.5580081181 +87 47 41.313382722|     ~| 9.95 | 9.46 |     ~|     ~|F8             |   2|   0
184|BD+86 293                          |PM*|19 01 31.7693338656 +87 06 20.834687183|     ~|10.55 | 9.94 |     ~|     ~|G0             |   0|   0
185|BD+86 316                          |*  |20 43 03.5120804694 +86 53 22.388957705|     ~|10.16 | 9.02 |     ~|     ~|K0             |   2|   0
186|BD+86 317                          |*  |20 55 00.3474953452 +86 43 40.441571052|     ~|10.14 | 9.48 |     ~|     ~|G0             |   0|   0
187|HD 203317                          |*  |20 47 59.8273354510 +87 32 14.812514958|     ~| 8.90 | 8.53 |     ~|     ~|F2             |   4|   0
188|HD 203836                          |*  |20 57 22.3397609433 +87 01 57.595132296| 7.620| 7.520| 7.410|     ~|     ~|A3             |  13|   0
189|HD 207779                          |** |21 28 32.6850449237 +87 00 06.371168328|     ~| 8.62 | 8.39 |     ~|     ~|A2             |   3|   0
190|HD 212824                          |*  |22 05 47.4532633710 +87 34 42.536158845|     ~| 9.55 | 9.21 |     ~|     ~|F2             |   2|   0
191|HD 215743                          |V* |22 32 17.6813883006 +87 17 04.324853829|     ~| 8.29 | 8.24 |     ~|     ~|A0             |   3|   0
192|BD+86 2                            |*  |00 18 19.6097611730 +87 21 22.597464840|     ~|10.80 | 9.10 |     ~|     ~|K3             |   0|   0
193|HD 6319                            |PM*|01 16 13.2055903375 +87 08 43.784645231|     ~| 7.301| 6.188|     ~|     ~|K2III:         |  22|   0
194|HD 10772                           |PM*|02 03 34.8646613401 +86 55 54.475258261|     ~| 8.45 | 8.10 |     ~|     ~|F5             |   4|   0
195|BD+86 27                           |*  |02 05 23.2562236388 +86 57 56.387598688|     ~|10.64 | 9.48 |     ~|     ~|G8             |   0|   0
196|BD+86 29                           |*  |02 22 04.3645354367 +86 53 15.893433496|     ~|10.26 | 9.85 |     ~|     ~|F0             |   0|   0
197|BD+86 30                           |*  |02 21 01.1266738205 +86 45 43.010796503|     ~|10.37 | 9.04 |     ~|     ~|K0             |   0|   0
198|BD+86 33                           |*  |02 29 33.0349502883 +86 47 12.790992203|     ~|11.06 | 9.82 |     ~|     ~|G8             |   0|   0
199|BD+85 46                           |*  |02 58 46.4172076943 +86 14 56.019213568|     ~| 9.73 | 9.01 |     ~|     ~|F8             |   1|   0
200|BD+89 2                            |*  |04 42 46.1149223950 +89 37 48.356294974|     ~|10.74 | 9.14 |     ~|     ~|K2             |   6|   0
201|HD 1687                            |*  |00 39 43.5345810934 +89 26 39.498941770|     ~| 9.04 | 8.12 |     ~|     ~|K0             |  12|   0
202|HD 5914                            |PM*|01 33 50.6910391944 +89 00 56.301403593| 6.650| 6.560| 6.470|     ~|     ~|A3V            |  30|   0
203|BD+88 5                            |PM*|01 38 20.9243670186 +88 58 49.711561494|     ~| 9.68 | 8.91 |     ~|     ~|G8             |   5|   0
204|BD+88 6                            |*  |02 10 11.8959567104 +89 04 22.752845754|     ~|10.18 | 9.79 |     ~|     ~|F5             |   1|   0
205|* alf UMi B                        |V* |02 30 36.0767975155 +89 15 39.204342239|     ~| 8.69 | 8.20 |     ~|     ~|F3V            |  32|   0
206|HD 14369                           |PM*|03 40 54.0331766967 +89 06 17.584997024|     ~| 8.46 | 8.11 |     ~|     ~|F0             |  23|   0
207|BD+88 10                           |*  |05 03 52.8789899351 +89 25 14.509505023|     ~|10.37 | 9.29 |     ~|     ~|G8             |   6|   0
208|BD+88 12                           |*  |03 48 03.5046491553 +88 46 49.555873988|     ~|10.71 | 9.13 |     ~|     ~|K0             |   4|   0
209|BD+88 14                           |*  |04 01 55.1487065421 +88 44 58.458759837|     ~|10.92 | 9.54 |     ~|     ~|G8             |   3|   0
210|BD+88 16                           |PM*|04 32 23.5972690256 +88 45 08.930191632|     ~|10.21 | 9.62 |     ~|     ~|G0             |   4|   0
211|BD+88 17                           |*  |04 32 17.0298930547 +88 37 43.805981657|     ~|11.58 | 9.67 |     ~|     ~|K3             |   3|   0
212|BD+88 19                           |*  |05 50 26.5494471185 +88 46 39.826873575|     ~|11.14 | 9.75 |     ~|     ~|K0             |   1|   0
213|HD 815                             |*  |00 16 05.3683096421 +88 24 04.290913372|     ~| 9.32 | 9.11 |     ~|     ~|A              |   3|   0
214|BD+87 8                            |*  |01 31 21.2459816632 +88 39 26.135875302|     ~|10.21 | 9.05 |     ~|     ~|G8             |   3|   0
215|HD 8395                            |*  |01 53 47.9567472194 +88 33 06.032849223|     ~| 9.10 | 7.86 |     ~|     ~|K0             |   9|   0
216|HD 11696                           |PM*|02 34 32.6529528346 +88 28 15.694789782|     ~| 8.40 | 8.13 |     ~|     ~|A3             |  14|   0
217|HD 12364                           |PM*|02 48 59.1353030416 +88 39 39.455376952|     ~| 9.38 | 8.84 |     ~|     ~|G0             |   8|   0
218|BD+87 22                           |*  |03 39 39.3484405908 +88 11 37.304304325|     ~|10.95 | 9.75 |     ~|     ~|G8             |   1|   0
219|HD 18365                           |*  |03 56 22.3884451473 +88 29 41.147006122|     ~| 9.53 | 8.48 |     ~|     ~|K0             |   4|   0
220|BD+87 27                           |*  |04 06 16.8964763442 +88 20 15.501485100|     ~|10.15 | 9.02 |     ~|     ~|G8             |   3|   0
221|HD 26341                           |*  |05 14 00.6904232419 +88 13 19.363794812|     ~| 8.96 | 8.58 |     ~|     ~|F2             |  12|   0
222|HD 6369                            |*  |01 24 29.4507404731 +88 15 45.540764661|     ~| 9.20 | 8.87 |     ~|     ~|F5             |   8|   0
223|BD+87 2                            |*  |00 26 16.5148562715 +88 02 20.899466448|     ~|10.88 | 9.88 |     ~|     ~|G5             |   0|   0
224|BD+87 5                            |*  |00 54 40.2010613940 +87 49 22.460760135|     ~| 9.86 | 9.40 |     ~|     ~|F8             |   3|   0
225|BD+87 13                           |PM*|01 48 19.5350691111 +87 53 27.934054610|     ~|10.19 | 9.71 |     ~|     ~|G0             |   3|   0
226|BD+87 26                           |PM*|03 47 08.8948853606 +87 53 48.250512990| 9.340| 9.320| 8.840|     ~|     ~|G0             |   9|   0
227|BD+87 31                           |*  |04 42 51.3657565273 +87 30 01.272066948|     ~|10.21 | 9.65 |     ~|     ~|G0             |   0|   0
228|BD+87 35                           |*  |05 36 23.0224717404 +87 49 53.668637549|     ~|10.04 | 9.47 |     ~|     ~|G0             |   1|   0
229|BD+87 220                          |** |00 06 11.2419065863 +87 53 21.943244180|10.820|10.010| 8.940|     ~|     ~|K0             |   7|   0
230|BD+86 7                            |*  |00 39 50.1250407124 +87 47 48.294327142|     ~| 9.39 | 9.00 |     ~|     ~|F5             |   3|   0
231|BD+86 31                           |*  |02 34 43.3242827051 +87 25 35.499312350|     ~|10.10 | 9.98 |     ~|     ~|B9             |   2|   0
232|BD+86 32                           |*  |02 35 08.6533940194 +87 21 28.735149021|     ~|10.23 | 9.27 |     ~|     ~|G8             |   1|   0
233|HD 15569                           |*  |02 55 48.7793422826 +86 58 44.598216226|     ~| 9.43 | 9.22 |     ~|     ~|A5             |   2|   0
234|HD 16335                           |*  |03 04 07.9295884829 +87 01 33.909856451|     ~| 8.20 | 7.84 |     ~|     ~|F0             |   5|   0
235|BD+86 41                           |*  |03 11 25.5933239817 +87 10 35.378450134|     ~|10.93 | 9.89 |     ~|     ~|G8             |   0|   0
236|BD+86 43                           |*  |03 30 35.3844951222 +87 30 51.468738298|     ~| 9.55 | 9.33 |     ~|     ~|A3             |   0|   0
237|BD+86 44                           |*  |03 28 35.5386435757 +87 23 40.896045271|     ~| 9.59 | 9.10 |     ~|     ~|F8             |   4|   0
238|BD+86 45                           |*  |03 30 45.0739515773 +87 11 06.901268858|     ~| 9.81 | 9.55 |     ~|     ~|A5             |   0|   0
239|BD+86 49                           |*  |04 08 58.6947859502 +87 17 51.437345723|     ~| 9.78 | 9.60 |     ~|     ~|B8             |   2|   0
240|BD+86 59                           |*  |05 08 55.3549920519 +87 10 18.241332857|     ~|11.12 | 9.85 |     ~|     ~|G8             |   0|   0
241|HD 17376                           |*  |04 07 05.6817987064 +88 55 21.573078188|     ~| 9.16 | 8.84 |     ~|     ~|A              |  12|   0
242|* alf UMi                          |cC*|02 31 49.09456 +89 15 50.7923          | 3.00 | 2.62 | 2.02 | 1.53 | 1.22 |F8Ib           | 610|   2
243|BD+85 54                           |*  |03 31 28.9058007686 +85 43 31.539949559|     ~| 9.80 | 9.37 |     ~|     ~|F8             |   0|   0
244|HD 22701                           |PM*|04 10 01.6311986916 +86 37 34.102860939| 6.220| 6.220|     ~| 5.6  |     ~|F5IV           |  36|   0
245|BD+86 52                           |*  |04 13 17.5730358617 +86 42 07.428878019|     ~|10.07 | 9.60 |     ~|     ~|A5             |   0|   0
246|HD 24920                           |*  |04 33 13.4744644522 +86 55 11.920972617|     ~| 9.18 | 8.88 |     ~|     ~|F0             |   1|   0
247|BD+86 55                           |PM*|04 30 37.8079921954 +86 28 30.600826555|     ~|10.01 | 9.55 |     ~|     ~|F8             |   0|   0
248|BD+86 61                           |*  |05 04 59.3309141085 +86 25 41.927670265|     ~|11.61 | 9.91 |     ~|     ~|M2             |   0|   0
249|BD+86 62                           |*  |05 08 48.3579475053 +86 19 06.307930782|     ~|10.28 | 9.80 |     ~|     ~|F8             |   0|   0
250|BD+86 64                           |*  |05 13 34.7992944783 +86 27 03.360896902|     ~| 9.64 | 9.34 |     ~|     ~|A5             |   0|   0
251|HD 29944                           |*  |05 21 33.0431475743 +86 51 59.156633476|     ~| 9.13 | 8.52 |     ~|     ~|G5             |  18|   0
252|HD 30881                           |*  |05 24 13.9042091700 +86 17 22.990902248|     ~| 7.95 | 7.96 |     ~|     ~|B9             |   8|   0
253|CCDM J05348+8651AB                 |** |05 34 50.412 +86 50 43.65              |     ~| 9.9  | 8.9  |     ~|     ~|G              |   2|   0
254|BD+86 69                           |*  |05 38 12.9572437391 +86 35 30.283415256|     ~|10.42 | 9.93 |     ~|     ~|G0             |   0|   0
255|BD+86 70                           |*  |05 55 07.3177814047 +86 21 48.334343496|     ~|11.05 | 9.90 |     ~|     ~|G8             |   0|   0
256|BD+85 53                           |** |03 35 33.3456247959 +86 23 59.022745099|     ~| 9.37 | 9.02 |     ~|     ~|F0             |   6|   0
257|BD+85 69                           |*  |05 11 48.9080333048 +86 09 39.708348945|     ~| 9.52 | 9.44 |     ~|     ~|A0             |   0|   0
258|BD+85 72                           |*  |05 28 25.0039 +86 04 51.799            |     ~|10.55 | 9.94 |     ~|     ~|G5             |   0|   0
259|BD+85 57                           |*  |04 07 31.6041342311 +85 37 16.962154054|     ~| 9.20 | 8.69 |     ~|     ~|G0             |   5|   0
260|BD+85 59A                          |PM*|04 25 02.8490586205 +86 03 18.365695770|     ~|10.39 | 9.80 |     ~|     ~|G0             |   4|   0
261|BD+85 62                           |*  |04 37 03.8311262084 +85 52 01.749501153|     ~| 9.53 | 9.17 |     ~|     ~|F2             |   3|   0
262|HD 26367                           |*  |04 35 24.1619051863 +85 31 37.188196382|     ~| 7.064| 6.549|     ~|     ~|F7V            |  44|   0
263|BD+85 64                           |*  |04 48 03.5883001611 +85 26 49.208899613|     ~| 9.34 | 8.77 |     ~|     ~|G2             |   1|   0
264|HD 28157                           |*  |04 53 29.5598699779 +85 40 30.947040962|     ~| 8.81 | 8.36 |     ~|     ~|F5             |   2|   0
265|HD 32196                           |PM*|05 31 48.1356758683 +85 56 18.694703505| 6.970| 6.860| 6.530|     ~|     ~|A5m            |  28|   0
266|HD 32671                           |PM*|05 33 46.6274227502 +85 42 38.455128802|     ~| 9.04 | 8.09 |     ~|     ~|G5             |   3|   0
267|BD+85 77                           |*  |05 37 18.8949743960 +85 15 16.162946072|     ~| 9.51 | 9.34 |     ~|     ~|A0             |   0|   0
268|HD 34109                           |*  |05 43 48.8757535427 +85 40 06.083512801| 6.770| 6.750| 6.740|     ~|     ~|A2V            |  30|   0
269|BD+84 65                           |*  |03 56 30.1576472096 +85 15 11.552018677|     ~| 9.53 | 9.22 |     ~|     ~|F0             |   3|   0
270|BD+84 72                           |*  |04 08 13.8088642839 +85 10 46.559787678|     ~|10.26 | 8.82 |     ~|     ~|K2             |   0|   0
271|BD+84 74                           |*  |04 10 15.4077 +85 01 52.428            |     ~|11.15 | 9.76 |     ~|     ~|K2             |   0|   0
272|BD+84 82                           |*  |04 47 43.5210148676 +85 11 36.320259188|     ~|10.08 | 9.52 |     ~|     ~|F8             |   1|   0
273|BD+84 83                           |*  |04 47 52.4204476088 +85 00 21.779598671|     ~| 9.53 | 9.27 |     ~|     ~|F0             |   0|   0
274|HD 31095                           |*  |05 18 22.0509649124 +85 11 19.602698172|     ~| 9.61 | 8.19 |     ~|     ~|K0             |   5|   0
275|HD 170791                          |*  |17 54 23.8027976887 +86 33 31.170943567|     ~| 8.78 | 7.67 |     ~|     ~|K0             |   7|   0
276|BD+85 297                          |*  |17 51 05.6146095161 +85 06 40.572463957|     ~|11.58 | 9.98 |     ~|     ~|M5             |   0|   0
277|BD+87 164                          |PM*|17 09 02.4976311302 +86 58 53.800651000|     ~|10.43 | 9.89 |     ~|     ~|G0             |   1|   0
278|BD+86 233                          |*  |15 22 04.4940499099 +86 17 11.994653006|     ~|11.09 | 9.88 |     ~|     ~|G8             |   3|   0
279|BD+86 234                          |*  |15 33 45.9693988396 +85 59 30.751909713|     ~|10.00 | 9.55 |     ~|     ~|F2             |   0|   0
280|BD+86 240                          |RG*|15 48 38.0455601961 +86 00 52.520651601|     ~|11.21 | 9.97 |     ~|     ~|G8             |   2|   0
281|BD+86 246                          |*  |16 16 42.4942913340 +86 19 42.005621588|     ~|10.37 | 9.79 |     ~|     ~|G0             |   3|   0
282|BD+86 252                          |*  |16 29 23.3034100411 +86 26 00.906349571|     ~|11.15 | 9.99 |     ~|     ~|G9+III         |   5|   0
283|BD+86 254                          |*  |16 41 10.4239974568 +86 02 38.284608858|     ~|10.27 | 9.68 |     ~|     ~|G5             |   1|   0
284|HD 156374                          |PM*|16 45 16.1252422936 +86 04 11.469824608|     ~| 9.32 | 8.25 |     ~|     ~|G5             |   5|   0
285|BD+86 260                          |*  |16 58 06.2402997000 +86 35 53.878759734|     ~|10.41 | 9.87 |     ~|     ~|G0             |   1|   0
286|BD+86 263                          |PM*|16 56 52.7186263405 +86 50 16.900044615|     ~| 9.70 | 9.20 |     ~|     ~|G0             |   9|   0
287|HD 160010                          |SB*|16 57 17.7237308512 +86 50 40.562688646|     ~| 8.74 | 8.35 |     ~|     ~|F2             |  17|   0
288|BD+86 266                          |*  |17 19 02.6039348221 +86 11 52.818263710|     ~|10.65 | 9.72 |     ~|     ~|G5             |   0|   0
289|* del UMi                          |PM*|17 32 12.9967087 +86 35 11.258377      |     ~| 4.367| 4.336|     ~|     ~|A1Van          |  96|   0
290|BD+86 271                          |PM*|17 38 42.7907134186 +86 11 25.433236397|     ~|10.61 |10.00 |     ~|     ~|G8             |   1|   0
291|* 24 UMi                           |PM*|17 30 47.5850953627 +86 58 04.964051992|     ~| 5.981| 5.756|     ~|     ~|kA2hA9mF0      |  47|   0
292|V* W UMi                           |Al*|16 08 27.2727942531 +86 11 59.551056069|     ~| 8.92 | 8.65 |     ~|     ~|A2V            | 108|   0
293|BD+86 242                          |*  |15 57 36.1073268870 +85 47 44.646830690|     ~| 9.47 | 8.46 |     ~|     ~|G8             |   3|   0
294|BD+86 262                          |*  |17 10 07.8032222877 +85 55 06.613384950|     ~|11.18 | 9.91 |     ~|     ~|K0             |   0|   0
295|HD 143802                          |PM*|15 38 59.4030974605 +85 17 09.371943473| 7.210| 7.090| 6.890|     ~|     ~|A5             |  14|   0
296|BD+85 275                          |*  |16 25 47.7617348761 +85 18 30.046298594|     ~|10.32 | 9.78 |     ~|     ~|G0             |   0|   0
297|HD 152643                          |*  |16 26 51.2622041150 +85 37 01.474120639| 9.020| 9.070| 8.630|     ~|     ~|F8             |   9|   0
298|BD+85 286                          |*  |17 25 07.0540633579 +85 06 55.858917212|     ~|10.40 | 9.48 |     ~|     ~|K0             |   1|   0
299|BD+85 289                          |*  |17 32 27.7734964510 +85 32 02.834904661|     ~|10.61 | 9.53 |     ~|     ~|G8             |   0|   0
300|HD 166798                          |*  |17 42 50.0578952154 +85 40 12.368526771| 7.940| 7.900| 7.590|     ~|     ~|F0             |  12|   0
301|BD+88 109                          |*  |17 53 35.2394694626 +88 11 45.250770043|     ~|10.71 | 9.47 |     ~|     ~|G8             |   1|   0
302|HD 175078                          |*  |17 19 03.6749165515 +88 38 52.581332703|     ~| 9.44 | 9.06 |     ~|     ~|F5             |   3|   0
303|* lam UMi                          |LP*|17 16 56.4107068491 +89 02 15.734282923| 9.74 | 7.95 | 6.38 |     ~|     ~|M1III          |  47|   0
304|BD+87 174                          |*  |17 46 54.3142649641 +87 20 54.241360750|     ~|10.77 | 9.72 |     ~|     ~|G8             |   0|   0
305|HD 111162                          |*  |12 28 28.0248816366 +88 40 32.351796899|     ~| 9.84 | 9.36 |     ~|     ~|F              |   5|   0
306|HD 112428                          |*  |12 38 27.9079097028 +88 21 19.293703458|     ~|10.13 | 8.59 |     ~|     ~|K0             |   6|   0
307|BD+89 28                           |*  |14 31 39.0190721131 +88 51 31.818995638|     ~|10.21 | 8.65 |     ~|     ~|K3             |   4|   0
308|BD+89 35                           |*  |13 07 54.8874398364 +89 17 52.734233666|     ~|10.97 | 9.79 |     ~|     ~|G8             |   4|   0
309|BD+89 37                           |*  |12 36 55.9117977821 +89 21 51.265436505|     ~|11.06 | 9.98 |     ~|     ~|G5             |   3|   0
310|BD+88 72                           |*  |12 15 48.2404025478 +87 46 44.029081618|     ~| 9.99 | 9.67 |     ~|     ~|F5             |   2|   0
311|BD+88 75                           |PM*|12 37 42.3669560860 +87 58 22.831835377|     ~| 9.55 | 9.05 |     ~|     ~|F8             |   2|   0
312|BD+88 78                           |*  |13 06 58.1530457506 +88 05 27.323915077|     ~|10.65 | 9.70 |     ~|     ~|G8             |   3|   0
313|BD+88 85                           |*  |13 43 05.4704326791 +87 51 06.023395304|     ~|10.49 | 9.41 |     ~|     ~|K0             |   1|   0
314|HD 134437                          |*  |14 23 45.0691332744 +87 58 28.688488058|     ~| 9.93 | 8.98 |     ~|     ~|K0             |  10|   0
315|BD+88 94                           |*  |15 13 24.6773107155 +88 01 50.561105420|     ~|10.82 | 9.07 |     ~|     ~|M0             |   1|   0
316|BD+88 96                           |*  |15 23 11.3938894303 +88 08 48.407825306|     ~|10.13 | 9.66 |     ~|     ~|F2             |   1|   0
317|BD+88 100                          |*  |16 08 57.2441660972 +87 58 37.705590007|     ~| 9.61 | 9.06 |     ~|     ~|G0             |   2|   0
318|BD+88 101                          |*  |16 09 34.7837956252 +88 30 42.269067396|     ~| 9.72 | 9.24 |     ~|     ~|F5             |   3|   0
319|BD+88 102                          |*  |16 23 40.5351113589 +88 26 28.241473853|     ~| 9.97 | 9.46 |     ~|     ~|F8             |   1|   0
320|HD 163988                          |*  |16 48 43.2690737898 +88 09 22.446070083|     ~| 8.58 | 8.11 |     ~|     ~|F5             |  12|   0
321|HD 163545                          |** |16 22 36.9089086465 +88 36 21.975028347|     ~| 9.20 | 8.34 |     ~|     ~|K0             |  19|   0
322|BD+88 107                          |*  |16 15 50.0744658941 +88 50 48.126405248|     ~|11.12 | 9.85 |     ~|     ~|K0             |   1|   0
323|BD+87 173                          |*  |17 18 22.2978516107 +87 58 01.937642996|     ~|10.22 | 8.53 |     ~|     ~|K3             |   1|   0
324|V* UY UMi                          |gD*|12 15 20.2704171661 +87 42 00.427589080|     ~| 6.590| 6.259|     ~|     ~|F1IV           |  48|   0
325|BD+88 74                           |*  |12 34 46.8236727115 +87 18 09.857406425|     ~|10.96 | 9.64 |     ~|     ~|K0             |   0|   0
326|HD 114282                          |*  |12 53 56.0887926484 +87 38 53.944435832|10.500| 8.910| 7.470|     ~|     ~|K2             |  17|   0
327|HD 117672                          |*  |13 12 08.4383968497 +87 32 21.312271335|     ~| 9.02 | 8.58 |     ~|     ~|F2             |   2|   0
328|HD 121952                          |*  |13 35 49.1454926420 +87 17 36.292274577|     ~| 9.32 | 9.08 |     ~|     ~|A0             |   2|   0
329|BD+88 92                           |*  |15 09 44.0535822805 +87 33 44.027507124|     ~|10.22 | 9.85 |     ~|     ~|F5             |   1|   0
330|BD+87 127                          |*  |13 31 19.9517605678 +87 09 26.872448976|     ~|10.33 | 9.99 |     ~|     ~|A2             |   0|   0
331|BD+87 131                          |*  |13 38 53.1559 +86 59 10.467            |     ~|10.81 | 9.81 |     ~|     ~|G5             |   0|   0
332|BD+87 137                          |*  |13 58 18.9404217819 +87 04 24.714540191|     ~|10.88 | 9.80 |     ~|     ~|G8             |   1|   0
333|BD+87 138                          |*  |14 01 47.3164494598 +87 15 51.591737710|     ~|10.49 | 9.97 |     ~|     ~|G0             |   0|   0
334|BD+87 141                          |PM*|14 17 22.2136235300 +87 17 33.330571196|     ~|10.48 | 9.89 |     ~|     ~|G0             |   1|   0
335|HD 135294                          |*  |14 40 18.3209264136 +87 12 53.171015592|10.040| 8.370| 6.910|     ~|     ~|K0             |  12|   0
336|HD 138465                          |*  |14 58 21.9407688785 +87 00 22.586682419|     ~| 8.64 | 8.09 |     ~|     ~|F8             |  14|   0
337|BD+87 148                          |*  |15 01 09.8119966735 +87 26 09.399191144|     ~|10.16 | 9.51 |     ~|     ~|G2             |   1|   0
338|BD+87 149                          |PM*|15 17 43.6250781616 +86 35 26.611123351|     ~|10.62 | 9.53 |     ~|     ~|G8             |   0|   0
339|HD 145367                          |*  |15 26 20.4301929350 +87 26 07.624613505|     ~| 9.54 | 9.08 |     ~|     ~|F8             |   5|   0
340|BD+87 155                          |*  |16 04 14.8708052111 +86 51 45.222451703|     ~|11.14 | 9.94 |     ~|     ~|G5             |   0|   0
341|BD+87 158                          |PM*|16 08 47.1802599966 +87 12 42.703412489|     ~|10.62 | 9.92 |     ~|     ~|G5             |   1|   0
342|BD+87 160                          |*  |16 11 38.0839535028 +87 29 08.815900910|     ~|10.72 | 9.52 |     ~|     ~|K0             |   0|   0
343|BD+87 161                          |*  |16 19 55.9174591932 +87 19 28.994573075|     ~|11.10 | 9.81 |     ~|     ~|K0             |   0|   0
344|BD+87 166                          |*  |16 54 53.3560833586 +87 44 03.349281779|11.160|10.100| 8.960|     ~|     ~|K0             |   6|   0
345|BD+87 168                          |*  |16 56 48.2492435127 +87 52 31.102081476|     ~|10.33 | 9.58 |     ~|     ~|G2             |   0|   0
346|HD 166179                          |*  |17 20 36.5467458541 +87 22 31.356686237|     ~| 8.62 | 8.30 |     ~|     ~|F0             |   6|   0
347|BD+86 230                          |** |15 07 52.65218 +86 29 29.6943          |     ~|10.33 | 9.81 | 9.60 |     ~|G5             |   4|   0
348|BD+89 7                            |*  |07 06 01.1345419538 +89 16 30.065045314|     ~|10.33 | 9.98 |     ~|     ~|F2             |   5|   0
349|BD+88 20                           |*  |06 48 52.9546457110 +89 04 45.455536870|     ~|10.63 | 9.45 |     ~|     ~|G8             |   2|   0
