C.D.S.  -  SIMBAD4 rel 1.7  -  2020.08.18CEST10:10:23

dec >= 40 & Bmag <= 7.5
-----------------------

Number of objects : 2740

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
698 |* 15 Cep                           |** |22 03 53.8573395300 +59 48 52.447825239| 6.31 | 6.862| 6.708|     ~|     ~|B1V                  |  53 |   0
699 |V* V442 Cep                        |bL*|22 04 12.8631168478 +59 52 01.781311432| 6.77 | 7.01 | 6.97 |     ~|     ~|A0                   |  21 |   0
700 |HD 210433                          |*  |22 08 36.0465878670 +59 17 22.245116695|     ~| 7.11 | 7.15 |     ~|     ~|A0                   |  20 |   0
701 |CCDM J22086+5917BC                 |** |22 08 34.0768 +59 17 37.723            |     ~| 7.40 | 7.34 |     ~|     ~|A0                   |  26 |   0
702 |HD 211093                          |PM*|22 13 09.9292790125 +59 17 57.858468161|     ~| 7.39 | 7.21 |     ~|     ~|A5                   |   3 |   0
703 |* lam Cep                          |s*b|22 11 30.5750839949 +59 24 52.147736074| 4.55 | 5.29 | 5.05 | 4.77 | 4.62 |O6.5I(n)fp           | 646 |   1
704 |CCDM J21565+5948AB                 |** |21 56 27.32603 +59 47 42.3760          |     ~| 7.02 | 6.97 |     ~|     ~|A0                   |   9 |   1
705 |HD 212495                          |*  |22 23 00.5203739206 +62 25 09.689663461|     ~| 6.055| 6.032|     ~|     ~|A1V                  |  27 |   0
706 |HD 213530                          |** |22 30 32.63823 +61 37 25.5751          |     ~| 7.02 | 7.00 |     ~|     ~|A0                   |  21 |   1
707 |HD 214165                          |** |22 35 00.2177893399 +60 49 35.030349741|     ~| 7.47 | 7.08 |     ~|     ~|F2V                  |  22 |   0
708 |HD 216102                          |PM*|22 48 44.2556569802 +62 56 18.282998283|     ~| 7.261| 6.063|     ~|     ~|K0                   |   8 |   0
709 |HD 216425                          |PM*|22 51 29.4676038762 +62 58 19.855445747|     ~| 7.41 | 6.65 |     ~|     ~|G5                   |  19 |   0
710 |HD 214007                          |EB*|22 33 53.1476235913 +61 46 41.268310897|     ~| 6.703| 6.550|     ~|     ~|A2                   |   7 |   0
711 |HD 216380A                         |PM*|22 51 22.6289748025 +61 41 48.265101895|     ~| 6.801| 5.931|     ~|     ~|G8III-IV             |   4 |   0
712 |HD 218537                          |** |23 07 47.7465973 +63 38 00.473547      | 5.64 | 6.24 | 6.26 |     ~|     ~|B3V                  | 100 |   0
713 |V* V649 Cas                        |Al*|23 16 27.0491431825 +61 57 46.572598817| 6.130| 6.760| 6.550|     ~|     ~|B0Vn                 |  67 |   0
714 |HD 218375                          |*  |23 06 28.56678 +61 26 24.4508          |     ~| 7.22 | 6.75 |     ~|     ~|F5V                  |  20 |   1
715 |HD 221325                          |*  |23 30 32.1077841683 +64 23 32.270619189|     ~| 7.46 | 7.25 |     ~|     ~|A5                   |   7 |   0
716 |* 4 Cas                            |V* |23 24 50.2623747 +62 16 58.109355      |     ~| 6.592| 4.955|     ~|     ~|M1III                |  53 |   0
717 |HD 223288                          |*  |23 48 06.2993976229 +63 49 02.542203812|     ~| 7.49 | 7.41 |     ~|     ~|A0                   |   3 |   0
718 |HD 223624                          |*  |23 50 59.2353297873 +63 59 05.482592371|     ~| 6.852| 6.800|     ~|     ~|A0                   |  10 |   0
719 |HD 222407                          |*  |23 39 52.9222235671 +63 43 31.550931830|     ~| 6.979| 6.873|     ~|     ~|A2                   |  13 |   1
720 |HD 222275                          |Em*|23 38 49.1058623975 +62 08 05.845545910| 7.64 | 7.128| 6.606|     ~|     ~|A3II                 |  22 |   0
721 |HD 861                             |SB*|00 13 12.7303470638 +62 02 27.159553928|     ~| 6.83 | 6.622|     ~|     ~|A2m                  |  43 |   0
722 |* 10 Cas                           |Be*|00 06 26.5378574380 +64 11 46.169112510| 5.37 | 5.56 | 5.59 |     ~|     ~|B9IIIe               | 103 |   0
723 |HD 371                             |*  |00 08 32.8653069085 +63 12 14.524131194|     ~| 7.422| 6.420|     ~|     ~|G3II                 |  31 |   0
724 |HD 225094                          |s*b|00 03 25.7141331 +63 38 25.877987      | 6.01 | 6.56 | 6.22 | 5.90 | 5.67 |B2.9Iab              | 141 |   0
725 |* 9 Cas                            |*  |00 04 13.6620544001 +62 17 15.590488748| 5.89 | 6.154| 5.884|     ~|     ~|A1II-III             |  37 |   0
726 |* 12 Cas                           |*  |00 24 47.5045502527 +61 49 51.802197697|     ~| 5.375| 5.377|     ~|     ~|B9III                |  53 |   0
727 |HD 2654                            |*  |00 30 41.6189129349 +62 21 14.402826480| 6.68 | 7.352| 7.389|     ~|     ~|B2V                  |  27 |   0
728 |* kap Cas                          |s*b|00 32 59.9911963 +62 55 54.417374      | 3.50 | 4.30 | 4.16 | 4.02 | 3.96 |B1Ia                 | 445 |   0
729 |HD 5459                            |PM*|00 57 19.6063842655 +61 25 18.819234911|     ~| 7.379| 6.437|     ~|     ~|G5III                |  14 |   0
730 |HD 4841                            |Em*|00 51 25.9267706955 +63 46 52.208780565| 7.13 | 7.43 | 6.86 | 6.28 | 5.90 |B5Ia                 |  79 |   0
731 |HD 6416                            |PM*|01 06 22.8166967235 +62 45 41.002236903|     ~| 6.720| 6.523|     ~|     ~|A5Vn                 |  32 |   0
732 |NGC 225                            |OpC|00 43 39.0 +61 46 30                   |     ~| 7.43 | 7.0  |     ~|     ~|~                    |  79 |   0
733 |HD 7252                            |*  |01 14 03.6518846645 +60 52 59.212441860| 6.47 | 7.209| 7.175|     ~|     ~|B1V                  |  62 |   0
734 |V* V761 Cas                        |a2*|01 13 09.85436 +61 42 22.2669          |     ~| 6.466| 6.502|     ~|     ~|B9V                  |  42 |   1
735 |HD 6130                            |** |01 03 37.00525 +61 04 29.3612          |     ~| 6.55 | 6.01 | 7.04 |     ~|F0II                 |  60 |   0
736 |HD 6210                            |PM*|01 04 19.4507781141 +61 34 48.660668963|     ~| 6.386| 5.833|     ~|     ~|F6V                  |  72 |   0
737 |HD 8965                            |*  |01 29 51.3625131528 +60 15 04.562763080| 6.48 | 7.274| 7.291|     ~|     ~|B0.5V                |  43 |   0
738 |* del Cas                          |Al*|01 25 48.9514709 +60 14 07.022507      | 2.930| 2.810| 2.680| 2.53 | 2.44 |A5IV                 | 246 |   0
739 |HD 9878                            |*  |01 38 12.6353673856 +62 21 06.419320474|     ~| 6.686| 6.709|     ~|     ~|B7V                  |  15 |   0
740 |V* V772 Cas                        |a2*|01 42 02.9104791074 +61 02 17.655975174|     ~| 6.647| 6.677|     ~|     ~|B8IIIp(Si)           |  38 |   0
741 |HD 10362                           |*  |01 42 58.3195959582 +61 25 15.865257541|     ~| 6.320| 6.323|     ~|     ~|B7III                |  38 |   0
742 |* 44 Cas                           |*  |01 43 19.7565378853 +60 33 04.798448424|     ~| 5.76 | 5.76 |     ~|     ~|B8IIIn               |  36 |   0
743 |NGC 654                            |OpC|01 44 00.0 +61 53 06                   |     ~| 7.34 | 6.5  |     ~|     ~|~                    | 179 |   0
744 |HD 12112                           |** |02 00 48.4504951626 +59 57 33.837173753|     ~| 6.863| 6.740|     ~|     ~|A3IV                 |  26 |   0
745 |HD 11606                           |Be*|01 55 42.8536085670 +59 16 24.420680595| 6.22 | 7.08 | 7.02 |     ~|     ~|B2Vne                |  77 |   0
746 |HD 11860                           |SB*|01 58 18.5365318928 +59 37 33.424346972|     ~| 6.73 | 6.64 |     ~|     ~|A1IV                 |  26 |   0
747 |* 5 Per                            |s*b|02 11 29.1932220785 +57 38 43.963436391| 6.23 | 6.68 | 6.35 | 6.02 | 5.75 |B5Ia                 | 175 |   0
748 |V* V784 Cas                        |dS*|02 10 25.5077203996 +59 58 47.285111740|     ~| 6.977| 6.635|     ~|     ~|kF0hF2mF2(III)       |  38 |   0
749 |HD 12953                           |sg*|02 08 40.5789522644 +58 25 24.969707759| 6.28 | 6.29 | 5.68 | 5.09 | 4.59 |A1Ia                 | 183 |   0
750 |HD 13476                           |*  |02 13 41.6106348614 +58 33 38.103912891| 7.26 | 7.04 | 6.43 | 5.89 | 5.40 |A2Iab                | 127 |   0
751 |* 8 Per                            |PM*|02 17 59.8874966716 +57 53 59.352929821|     ~| 6.951| 5.748|     ~|     ~|K3III                |  32 |   0
752 |* 10 Per                           |s*b|02 25 16.0286810463 +56 36 35.357178267| 5.95 | 6.56 | 6.26 | 5.93 | 5.74 |B2Ia                 | 229 |   0
753 |HD 14143                           |*  |02 19 13.9415940972 +57 10 09.233997883| 6.71 | 7.16 | 6.700|     ~|     ~|B3I                  | 192 |   0
754 |HD 14433                           |sg*|02 21 55.4352553767 +57 14 34.495206459| 7.01 | 6.97 | 6.480| 5.79 | 6.733|A1Ia                 | 143 |   0
755 |* chi Per                          |*  |02 18 04.5844857610 +57 30 58.757945030|     ~| 7.036| 6.023|     ~|     ~|G7.0III              | 157 |   1
756 |* 61 And                           |s*b|02 19 04.4524770508 +57 08 07.798163786| 6.63 | 7.00 | 6.568|     ~| 6.688|B3Ia                 | 196 |   0
757 |* 11 Per                           |*  |02 43 02.8382622822 +55 06 21.670038630| 5.13 | 5.639| 5.753|     ~|     ~|B8IV                 |  66 |   0
758 |HD 17378                           |sg*|02 49 30.7365172243 +57 05 03.546216821| 7.65 | 7.14 | 6.26 | 5.44 | 4.68 |A5Ia                 | 169 |   0
759 |HD 16524                           |*  |02 41 07.6919520640 +56 16 12.362741986|     ~| 7.44 | 7.46 |     ~|     ~|B6V                  |   8 |   0
760 |* eta Per                          |*  |02 50 41.8095904 +55 53 43.787576      | 7.38 | 5.48 | 3.79 | 2.56 | 1.67 |K3-Ib-IIa            | 201 |   0
761 |HD 17217                           |*  |02 47 55.3462177919 +55 36 48.780737471|     ~| 7.03 | 6.92 |     ~|     ~|A0                   |  11 |   0
762 |HD 18439                           |PM*|03 00 04.1147968818 +55 11 17.123406994|     ~| 7.43 | 7.33 |     ~|     ~|A0/2V                |  10 |   0
763 |HD 18678                           |*  |03 02 24.4214252906 +54 21 47.689789055| 9.398| 7.45 | 7.18 |     ~|     ~|A5                   |  10 |   0
764 |* gam Per                          |Al*|03 04 47.7907410 +53 30 23.168725      | 4.08 | 3.63 | 2.93 | 2.34 | 1.89 |G9III+A2-III:        | 195 |   0
765 |HD 19268                           |*  |03 08 03.8522157932 +52 12 48.629822163|     ~| 6.30 | 6.30 |     ~|     ~|B5V                  |  45 |   0
766 |HD 19624                           |*  |03 11 42.9019672919 +52 09 48.463597101|     ~| 6.90 | 6.88 |     ~|     ~|B5                   |  31 |   0
767 |V* V572 Per                        |Al*|03 15 48.67668 +50 57 21.2108          |     ~| 6.79 | 6.71 |     ~|     ~|A0                   |  24 |   1
768 |HD 20123                           |*  |03 16 12.2033348937 +50 56 15.586367207| 7.01 | 6.18 | 5.03 |     ~|     ~|G5Ib-IIa             |  86 |   0
769 |HD 20191                           |*  |03 16 49.0962982789 +51 13 05.477212762|     ~| 7.22 | 7.19 |     ~|     ~|B9                   |  27 |   0
770 |HD 21085                           |*  |03 26 04.4711568006 +49 44 44.105740314|     ~| 7.49 | 7.12 |     ~|     ~|A3II                 |  10 |   0
771 |* alf Per                          |V* |03 24 19.3700924 +49 51 40.245455      | 2.64 | 2.27 | 1.79 |     ~|     ~|F5Ib                 | 801 |   1
772 |HD 20537                           |*  |03 20 23.6671996224 +51 37 06.091638143|     ~| 7.30 | 7.29 |     ~|     ~|B9                   |  23 |   0
773 |HD 20510                           |*  |03 20 06.2636227308 +50 58 07.541281755| 8.786| 7.11 | 7.06 |     ~|     ~|B9V                  |  28 |   0
774 |HD 21362                           |*  |03 28 52.3241656747 +49 50 54.201305998|     ~| 5.513| 5.572|     ~|     ~|B6Vn                 | 112 |   0
775 |* 34 Per                           |*  |03 29 22.05019 +49 30 32.2114          | 4.01 | 4.610| 4.735|     ~|     ~|B3V                  | 155 |   0
776 |HD 21278                           |SB*|03 28 03.0722871396 +49 03 46.331543444|     ~| 4.89 | 4.97 |     ~|     ~|B5V                  | 194 |   0
777 |HD 21479                           |*  |03 29 51.8809257252 +49 12 48.500782866|     ~| 7.38 | 7.31 |     ~|     ~|A1IVn                |  51 |   0
778 |HD 21620                           |Al*|03 31 29.3397170443 +49 12 35.180260731| 6.390| 6.350| 6.280|     ~|     ~|A0Vn                 |  57 |   0
779 |HD 21672                           |*  |03 31 53.9459006555 +48 44 06.529697794|     ~| 6.61 | 6.63 |     ~|     ~|B8V                  |  61 |   0
780 |HD 21931                           |*  |03 34 12.9645235601 +48 37 02.909706330|     ~| 7.39 | 7.37 |     ~|     ~|B9V                  |  61 |   1
781 |* psi Per                          |Be*|03 36 29.3798227 +48 11 33.478941      | 3.60 | 4.17 | 4.23 |     ~|     ~|B5Ve                 | 396 |   0
782 |HD 21661                           |*  |03 31 49.0386912700 +49 24 03.938723739|     ~| 6.467| 6.411|     ~|     ~|B9II:                |  31 |   0
783 |HD 22389                           |*  |03 38 13.0581117200 +49 04 58.900537684| 6.790| 7.160| 7.190|     ~|     ~|B9                   |  11 |   0
784 |HD 22417                           |*  |03 38 26.9331699496 +49 12 20.421086689|     ~| 6.92 | 6.87 |     ~|     ~|B9                   |  13 |   0
785 |HD 21238                           |*  |03 27 38.9703882606 +49 35 59.707148470|     ~| 6.90 | 6.93 |     ~|     ~|B9V                  |  24 |   0
786 |HD 23219                           |*  |03 45 27.5565537810 +47 39 37.264401313|     ~| 7.15 | 7.17 |     ~|     ~|B9V                  |  20 |   0
787 |* del Per                          |Be*|03 42 55.5042561 +47 47 15.174633      | 2.38 | 2.89 | 3.01 | 2.99 | 3.10 |B5III                | 303 |   0
788 |HD 22401                           |*  |03 38 15.5794022406 +47 34 37.150848627|     ~| 7.47 | 7.46 |     ~|     ~|A0V                  |  87 |   0
789 |HD 25932                           |*  |04 08 13.1095645065 +43 11 28.049641179|     ~| 6.540| 6.557|     ~|     ~|B8                   |  12 |   0
790 |HD 27026                           |Pu*|04 18 08.1094130090 +42 08 28.184954568|     ~| 6.132| 6.205|     ~| 6.27 |B9V                  |  43 |   0
791 |* 14 Cyg                           |*  |19 39 26.4883502571 +42 49 05.781730557| 5.10 | 5.32 | 5.40 |     ~|     ~|B9III                |  84 |   0
792 |V* V1264 Cyg                       |a2*|19 34 43.9291708140 +43 56 45.072259111|     ~| 6.589| 6.620|     ~|     ~|A0p                  | 103 |   0
793 |HD 188209                          |s*b|19 51 59.0685711923 +47 01 38.420250587| 4.61 | 5.55 | 5.63 | 5.54 | 5.64 |O9.5Iab              | 288 |   0
794 |HD 186994                          |EB*|19 45 37.9686174027 +44 57 49.470259749| 6.43 | 7.37 | 7.50 |     ~|     ~|B0III                |  76 |   0
795 |* del Cyg                          |PM*|19 44 58.4785413 +45 07 50.916066      | 2.75 | 2.85 | 2.87 | 2.88 | 2.90 |A0IV                 | 278 |   0
796 |HD 186155                          |PM*|19 40 50.1841239 +45 31 29.787129      |     ~| 5.468| 5.056|     ~|     ~|F5II-III             |  69 |   0
797 |HD 190781                          |** |20 04 28.7957360388 +48 13 46.795835354| 6.230| 6.180| 6.140|     ~|     ~|A2IV                 |  34 |   0
798 |HD 188074                          |** |19 51 19.3791024495 +47 22 38.053212576|     ~| 6.591| 6.215|     ~|     ~|F2V                  |  36 |   0
799 |HD 188252                          |V* |19 52 07.1667088940 +47 55 54.456007207| 4.87 | 5.722| 5.897|     ~|     ~|B2III                |  71 |   0
800 |HD 188439                          |Pu*|19 53 01.2461804443 +47 48 27.790937434| 5.24 | 6.147| 6.279|     ~|     ~|B0.5IIIn             |  94 |   0
801 |HD 189013                          |gD*|19 55 54.0695393929 +47 05 24.253753114|     ~| 7.013| 6.873|     ~|     ~|A2                   |  20 |   0
802 |HD 191329                          |*  |20 07 11.4581450763 +50 13 46.530186345|     ~| 6.66 | 6.53 |     ~|     ~|A3V                  |  22 |   0
803 |HD 192983                          |** |20 15 43.2551702540 +50 13 58.473570633| 6.510| 6.450| 6.360|     ~|     ~|A2Vn                 |  28 |   0
804 |* e Cyg                            |*  |20 01 21.5648482742 +50 06 16.891189660|     ~| 6.170| 5.048|     ~|     ~|G8III                |  62 |   0
805 |HD 193089                          |*  |20 16 15.9705674101 +51 59 55.572372885|     ~| 7.42 | 7.46 |     ~|     ~|B9                   |   5 |   0
806 |HD 192439                          |*  |20 12 31.7176197031 +51 27 48.832140273|     ~| 7.199| 6.043|     ~|     ~|K1III:               |  13 |   1
807 |HD 194883                          |Be*|20 25 32.8118039817 +54 41 03.125994656| 6.73 | 7.32 | 7.36 |     ~|     ~|B2Ve                 |  43 |   0
808 |HD 196195                          |*  |20 33 23.4395035810 +54 48 07.314385095| 7.450| 7.370| 7.010|     ~|     ~|F2                   |  16 |   0
809 |HD 196017                          |*  |20 32 17.0539498602 +54 09 22.712937345|     ~| 7.31 | 7.41 |     ~|     ~|B9                   |   8 |   0
810 |HD 194668                          |*  |20 24 32.3658163247 +53 33 06.940856806| 6.43 | 6.457| 6.479|     ~|     ~|B9V                  |  29 |   0
811 |HD 196239                          |*  |20 33 46.1661775756 +52 49 35.558870898|     ~| 7.31 | 7.36 |     ~|     ~|A0                   |   4 |   0
812 |* ups Cep                          |SB*|20 45 21.1287886 +57 34 47.007968      |     ~| 5.05 |     ~| 4.2  |     ~|F8IV-V+F9IV-V        | 161 |   0
813 |HD 197618                          |*  |20 42 16.79610 +57 23 07.3422          |     ~| 7.30 | 7.19 |     ~|     ~|A3                   |  22 |   1
814 |V* V379 Cep                        |Al*|20 43 13.6841107658 +57 06 50.370628452| 6.17 | 6.591| 6.334|     ~|     ~|B2III                | 133 |   0
815 |HD 198793                          |*  |20 50 18.2491108398 +56 47 54.398137997|     ~| 7.027| 7.106|     ~|     ~|B8                   |  15 |   0
816 |HD 199136                          |*  |20 52 43.2492554413 +56 35 05.856586386|     ~| 7.356| 7.471|     ~|     ~|B8                   |  10 |   0
817 |HD 197101                          |*  |20 39 00.1814579491 +56 00 17.446976793| 6.920| 6.810| 6.450|     ~|     ~|F2Vn                 |  30 |   0
818 |HD 197795                          |*  |20 43 29.3867598111 +55 17 30.486838018| 6.64 | 6.885| 6.957|     ~|     ~|B9                   |  14 |   0
819 |HD 197308                          |*  |20 40 32.8835493729 +55 06 25.170018619|     ~| 7.319| 7.341|     ~|     ~|A0                   |   8 |   0
820 |HD 200205                          |*  |20 59 25.3838028648 +59 26 18.957776755|     ~| 6.942| 5.526|     ~|     ~|K4III                |  34 |   0
821 |HD 200593                          |*  |21 01 54.8817782098 +57 45 55.145199112|     ~| 7.11 | 7.18 |     ~|     ~|B8                   |   6 |   0
822 |HD 200575                          |*  |21 01 55.0192397536 +57 04 18.681218192| 6.050| 6.570| 6.690|     ~|     ~|B8                   |  15 |   1
823 |HD 200614                          |** |21 02 09.00594 +56 40 10.6097          |     ~| 5.76 | 5.83 |     ~|     ~|B8IVs+B9V            |  55 |   1
824 |HD 199331                          |*  |20 53 59.2090742067 +57 10 32.023745135|     ~| 7.22 | 7.16 |     ~|     ~|A0                   |   7 |   0
825 |HD 199661                          |*  |20 56 17.0116100854 +56 53 15.053018281| 5.37 | 6.049| 6.218|     ~|     ~|B2.5IV               |  59 |   0
826 |HD 203551                          |*  |21 20 25.4295337996 +60 41 14.014183604|     ~| 7.21 | 6.72 |     ~|     ~|F5                   |  17 |   1
827 |HD 203574                          |*  |21 20 33.4473392804 +60 45 23.062212295|     ~| 7.113| 6.104|     ~|     ~|G5III                |  20 |   0
828 |HD 202214                          |** |21 11 48.23752 +59 59 11.8024          | 4.97 | 5.75 | 5.72 |     ~|     ~|O9.5IV               | 135 |   0
829 |HD 203025                          |Be*|21 17 18.7888523026 +58 36 41.328739138| 6.12 | 6.579| 6.425|     ~|     ~|B2IIIe               | 116 |   1
830 |HD 203338                          |LP?|21 19 15.6844340919 +58 37 24.634540958| 7.09 | 7.09 | 5.75 | 4.26 | 2.93 |M1Ibep               | 106 |   0
831 |HD 202519                          |*  |21 14 04.89871 +58 17 49.7573          |     ~| 7.39 | 7.23 |     ~|     ~|A0                   |  28 |   1
832 |* nu. Cep                          |sg*|21 45 26.9247788 +61 07 14.899897      | 4.94 | 4.81 | 4.29 | 3.79 | 3.35 |A2Iae                | 237 |   1
833 |HD 205139                          |*  |21 30 59.2912643879 +60 27 33.954777178| 4.92 | 5.604| 5.522|     ~|     ~|B1Ib                 |  91 |   0
834 |* 12 Cep                           |*  |21 47 25.2941240707 +60 41 33.679124769|     ~| 7.056| 5.514|     ~|     ~|M1III                |  29 |   0
835 |* 9 Cep                            |Pu*|21 37 55.2235288899 +62 04 54.993364177| 4.49 | 5.03 | 4.73 | 4.42 | 4.24 |B2Ib                 | 286 |   0
836 |HD 208905                          |*  |21 57 17.66664 +61 17 43.1228          | 6.34 | 7.071| 7.025|     ~|     ~|B1III                |  70 |   1
837 |CCDM J21523+6306AB                 |** |21 52 20.94808 +63 06 04.4972          | 6.88 | 7.48 | 7.37 |     ~|     ~|B2V                  |  35 |   1
838 |BD+62 1992A                        |*i*|21 52 20.95 +63 06 04.5                |     ~| 7.5  | 7.4  |     ~|     ~|B2V                  |   0 |   0
839 |HD 208218                          |*  |21 52 35.1447771956 +62 42 43.813548193| 6.3  | 6.894| 6.708|     ~|     ~|B1III                |  61 |   0
840 |HD 208392                          |Be*|21 53 48.0971722883 +62 36 51.899417888| 6.74 | 7.20 | 7.03 |     ~|     ~|B1Vn                 | 152 |   0
841 |HD 209123                          |*  |21 58 59.2790041330 +61 39 43.945776132|     ~| 7.40 | 7.06 |     ~|     ~|A3                   |   3 |   0
842 |NGC 7160                           |OpC|21 53 40.0 +62 36 12                   |     ~| 6.34 | 6.1  |     ~|     ~|~                    | 208 |   0
843 |HD 207198                          |*  |21 44 53.2790298387 +62 27 38.042162728| 5.61 | 6.25 | 5.94 | 5.66 | 5.49 |O8.5II               | 321 |   0
844 |* 19 Cep                           |*  |22 05 08.7884887056 +62 16 47.323982519| 4.36 | 5.19 | 5.11 | 4.95 | 4.92 |O9Ib                 | 362 |   0
845 |V* VV Cep                          |Al*|21 56 39.1438495 +63 37 32.017439      | 7.03 | 6.65 | 4.90 | 3.19 | 1.85 |M2epIa-Iab+B8:eV     | 425 |   1
846 |HD 211589                          |*  |22 16 18.7290887171 +62 18 57.695862543|     ~| 7.24 | 7.08 |     ~|     ~|A3                   |   3 |   0
847 |* ksi Cep B                        |PM*|22 03 46.2173563855 +64 37 41.464624020|     ~| 6.862| 6.342| 6.1  |     ~|F8V                  |  68 |   0
848 |HD 210641                          |*  |22 09 44.4920690424 +64 07 20.510754078|     ~| 7.26 | 6.94 |     ~|     ~|A2                   |  12 |   0
849 |HD 211029                          |V* |22 12 22.4499569637 +63 17 27.718496193|     ~| 7.382| 5.778|     ~|     ~|M3III                |  22 |   0
850 |HD 211242                          |*  |22 13 49.7036590153 +63 09 44.412272766|     ~| 6.027| 6.121|     ~|     ~|B8Vn                 |  30 |   0
851 |* 25 Cep                           |*  |22 18 12.6481504569 +62 48 15.800656915|     ~| 7.010| 5.741|     ~|     ~|K3III                |  20 |   0
852 |HD 212365                          |*  |22 21 51.7856840950 +63 08 23.940602071|     ~| 7.02 | 6.95 |     ~|     ~|A0                   |   7 |   0
853 |* 18 Cep                           |LP?|22 03 52.9776153163 +63 07 11.710413735|     ~| 6.767| 5.300|     ~|     ~|M5III                |  50 |   0
854 |* 20 Cep                           |PM*|22 05 00.4984232480 +62 47 08.408691511|     ~| 6.699| 5.265|     ~|     ~|K4III                |  80 |   0
855 |* 26 Cep                           |*  |22 27 05.3100386416 +65 07 56.158587297| 5.24 | 5.806| 5.515|     ~|     ~|B0.5Ib               | 140 |   0
856 |HD 214675                          |*  |22 38 10.8603763752 +66 08 38.647617730|     ~| 7.44 | 7.37 |     ~|     ~|A0                   |   2 |   0
857 |HD 215371                          |*  |22 43 04.3794920802 +65 20 10.506522663| 6.06 | 6.712| 6.755|     ~|     ~|B1.5V                |  30 |   0
858 |HD 213099                          |*  |22 27 20.5967337683 +63 57 22.727276698|     ~| 7.46 | 7.30 |     ~|     ~|A0                   |   5 |   0
859 |HD 213242                          |*  |22 28 19.4894683247 +64 05 06.556940713|     ~| 7.403| 6.285|     ~|     ~|K0                   |  17 |   0
860 |* 30 Cep                           |*  |22 38 39.0512105611 +63 35 04.097067197|     ~| 5.254| 5.188|     ~|     ~|A0IV                 |  55 |   0
861 |HD 218560                          |*  |23 07 57.2046283630 +64 13 21.082180050|     ~| 7.297| 6.212|     ~|     ~|K0                   |  12 |   0
862 |* iot Cep                          |PM*|22 49 40.8169435 +66 12 01.463616      | 5.50 | 4.60 | 3.54 | 2.69 | 2.19 |K0-III               | 233 |   0
863 |HD 218536                          |*  |23 07 42.1176150729 +65 37 00.695717971|     ~| 7.14 | 7.01 |     ~|     ~|A2                   |   6 |   0
864 |HD 218723                          |*  |23 09 16.3519371277 +65 12 41.051323248|     ~| 6.610| 6.666|     ~|     ~|B5                   |  24 |   0
865 |V* AH Cep                          |bL*|22 47 52.9411821102 +65 03 43.797787196| 6.53 | 7.10 | 6.88 |     ~|     ~|B0.2V+B2V            | 202 |   0
866 |HD 220550                          |PM*|23 23 51.6247301836 +65 20 36.064947380|     ~| 7.36 | 6.97 |     ~|     ~|F2                   |  13 |   0
867 |HD 221512                          |PM*|23 32 11.5659839949 +65 44 20.958822682|     ~| 6.86 | 6.64 |     ~|     ~|F0                   |   7 |   0
868 |HD 220208                          |*  |23 21 11.9890112247 +64 44 26.408314017|     ~| 7.386| 7.395|     ~|     ~|B9                   |   8 |   0
869 |HD 219523                          |Be*|23 15 28.5092231723 +64 16 00.170601424|     ~| 7.148| 7.170|     ~|     ~|B5V                  |  23 |   0
870 |HD 219126                          |*  |23 12 33.9631869691 +64 48 09.020761649|     ~| 7.33 | 7.32 |     ~|     ~|A0                   |   7 |   1
871 |HD 219063                          |*  |23 12 01.5780514850 +64 43 09.256221151|     ~| 7.273| 7.317|     ~|     ~|B5                   |  22 |   0
872 |V* V650 Cas                        |a2*|23 48 39.05246 +64 52 35.2292          |     ~| 6.527| 6.476|     ~|     ~|A0VpSrSiCrHg         |  79 |   1
873 |HD 223128                          |*  |23 46 36.7361851127 +66 46 56.076956626| 5.15 | 5.883| 5.937|     ~|     ~|B2IV                 |  62 |   0
874 |HD 1658                            |** |00 21 22.20595 +67 00 19.5101          |     ~| 7.24 | 7.23 |     ~|     ~|B8.5V                |  51 |   1
875 |HD 1658A                           |*  |00 21 22.17 +67 00 19.5                |     ~| 7.2  | 7.2  |     ~|     ~|B8V                  |   4 |   0
876 |HD 225216                          |PM*|00 04 41.9803036909 +67 09 59.201014044|     ~| 6.741| 5.676|     ~|     ~|K1III                |  41 |   0
877 |HD 225009                          |*  |00 02 36.0919674124 +66 05 56.267096926|     ~| 6.912| 5.842|     ~|     ~|G8III                |  38 |   0
878 |HD 225010                          |*  |00 02 38.4509383251 +66 06 01.341374428|     ~| 7.42 | 7.34 |     ~|     ~|A2V                  |  23 |   0
879 |HD 224938                          |*  |00 01 58.5936203414 +66 26 16.437223504|     ~| 7.289| 7.263|     ~|     ~|B9                   |  10 |   0
880 |HD 2610                            |*  |00 30 16.4011456507 +64 44 56.280837029|     ~| 7.263| 7.269|     ~|     ~|A0                   |   7 |   0
881 |* 13 Cas                           |*  |00 31 25.2292746349 +66 31 10.621681920|     ~| 6.062| 6.165|     ~|     ~|B6V                  |  32 |   0
882 |* 16 Cas                           |** |00 34 24.9206050224 +66 45 01.228066503|     ~| 6.414| 6.473|     ~|     ~|B8V                  |  26 |   0
883 |HD 3801                            |PM*|00 41 34.6198646585 +65 52 05.573943532|     ~| 7.50 | 6.94 |     ~|     ~|F8                   |  20 |   0
