C.D.S.  -  SIMBAD4 rel 1.7  -  2020.08.18CEST10:10:23

dec >= 40 & Bmag <= 7.5
-----------------------

Number of objects : 2740

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
41  |* 22 And                           |*  |00 10 19.2465938 +46 04 20.180005      | 5.69 | 5.44 | 5.04 | 4.62 | 4.33 |F5II                 |  95 |   0
42  |HD 224720                          |*  |00 00 08.9605100284 +46 56 23.987667686|     ~| 7.42 | 7.34 |     ~|     ~|A2                   |  11 |   0
43  |V* CG And                          |a2*|00 00 43.6345982441 +45 15 12.002223317|     ~| 6.299| 6.347|     ~|     ~|A0IIspSiSrHg         | 146 |   0
44  |HD 3                               |*  |00 05 09.7579226124 +45 13 44.508863141| 6.840| 6.770| 6.710|     ~|     ~|A0Vn_lB              |  44 |   0
45  |HD 818                             |PM*|00 12 48.0425015248 +46 05 43.452777812|     ~| 7.01 | 6.62 |     ~|     ~|F2                   |  23 |   0
46  |* pi. Cas                          |SB*|00 43 28.0688272805 +47 01 28.376558640|     ~| 5.120| 4.949|     ~| 4.79 |A5V                  |  73 |   0
47  |HD 3291                            |*  |00 36 20.2407346937 +44 38 20.027384466|     ~| 7.25 | 7.30 |     ~|     ~|B8                   |  13 |   0
48  |HD 5526                            |*  |00 57 39.6447650866 +45 50 21.764634882|     ~| 7.118| 6.086|     ~|     ~|K2III                |  16 |   0
49  |HD 5596                            |*  |00 58 16.4438631792 +45 35 49.729485161|     ~| 7.42 | 7.23 |     ~|     ~|A3                   |  13 |   0
50  |V* GO And                          |a2*|00 50 18.2656316714 +45 00 08.143912427| 6.13 | 6.16 | 6.15 |     ~|     ~|A3VpSiSrCrEuKsn      | 113 |   0
51  |HD 4335                            |*  |00 46 10.8107162878 +44 51 41.395630497| 5.71 | 5.954| 6.024|     ~|     ~|B9.5IIIp(HgMn)       |  66 |   0
52  |HD 6688                            |*  |01 08 10.5593242732 +44 47 45.991723307| 6.99 | 7.38 | 7.47 |     ~|     ~|B8                   |  15 |   0
